hotel_name,location,features,ratings,reviews,review_title,room_style,price,tax_charges,city,duration,persons,cancellation_policy,pre_payment,breakfast_included,Beds,Rooms
"De Lagom Comforts, Anjuna Beach",Anjuna,"Superior King Room2 beds (1 extra-large double, 1 futon)Free cancellationNo prepayment needed – pay at the property",7.3,372.0,Good,Superior King Room,75000.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,,King Room
"Fortune Miramar, Goa - Member ITC's Hotel Group",Panaji,"Deluxe Double Room3 beds (2 singles, 1 extra-large double)",8.4,199.0,Very good,Deluxe Double Room,51000.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,,2 bedroomsss
Bhakti Kutir,Palolem,Double Room with Private BathroomBeds: 1 double or 2 singles,8.4,165.0,Very good,Double Room with Private Bathroom,28598.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,Beds: 1 double or 2 singles,2 bedroomsss
"The Boho - Vagator, Goa",Anjuna,SuitePrivate suite • 1 bedroom • 1 living room • 1 bathroom • 14m²1 large double bedOnly 4 left at this price on our site,6.9,316.0,Good,Suite,58716.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 large double bed,1 bedroom
"Golden Tulip Candolim, Goa",Candolim,Deluxe Pool Facing Room with 10% discount on food & Spa1 extra-large double bedBreakfast included,7.5,304.0,Good,Deluxe Pool Facing Room with 10% discount on food & Spa,55513.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,1 extra-large double bed,Deluxe Pool Facing Room
Goa Marriott Resort & Spa,Panaji,King Room with Garden View1 double bed,8.1,358.0,Very good,King Room with Garden View,112500.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 double bed,King Room
Hotel Walking 2 beach,"Calangute Beach, Calangute","Family Room3 beds (1 double, 2 futons)Free cancellationOnly 1 room left at this price on our site",3.6,105.0,Good,Family Room,17598.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,,Family Room
Moustache Goa Luxuria,Vagator,Budget Double Room1 double bedBreakfast includedFree cancellationOnly 1 room left at this price on our site,7.6,493.0,Good,Budget Double Room,86021.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 double bed,2 bedroomsss
JV BEACH RESORT GOA,Marmagao,Family Room1 double bedFree cancellationNo prepayment needed – pay at the property,6.7,25.0,Good,Family Room,21673.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 double bed,Family Room
Radisson Resort Goa Baga,Baga,Superior Room1 double bedBreakfast includedFree cancellation,7.5,148.0,Good,Superior Room,73497.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 double bed,Superior Room
Cola Goa Beach Resort,Cola,Deluxe Double Room with Sea View1 large double bedAll meals includedOnly 3 rooms left at this price on our site,8.3,58.0,Very good,Deluxe Double Room with Sea View,75000.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 large double bed,2 bedroomsss
"The Fern Habitat, Candolim, Goa",Candolim,Winter Green RoomEntire studio • 1 bathroom • 28m²1 extra-large double bedFree cancellation,9.1,22.0,Superb,Winter Green Room,49278.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 extra-large double bed,
